384; 12.945780381729032; 252; 297; 254; 388; 113; 347; 379; 692; 684; 441; 710; 232; 1396; 313
386; 13.013031188906844; 252; 297; 257; 382; 113; 347; 403; 692; 675; 439; 720; 235; 1368; 313
391; 13.181158206851377; 248; 264; 267; 374; 120; 342; 470; 685; 652; 427; 748; 247; 1291; 324
396; 13.34928522479591; 243; 211; 273; 358; 131; 337; 542; 681; 630; 415; 787; 259; 1204; 345
401; 13.517412242740443; 236; 185; 278; 345; 156; 316; 619; 674; 604; 400; 832; 271; 1123; 367
405; 13.65191385709607; 225; 163; 284; 340; 161; 315; 681; 663; 585; 388; 870; 276; 1060; 381
410; 13.820040875040602; 217; 152; 289; 323; 180; 292; 748; 652; 560; 379; 915; 283; 988; 396
415; 13.988167892985135; 185; 120; 288; 313; 184; 288; 806; 641; 534; 369; 966; 290; 902; 424
419; 14.122669507340762; 161; 102; 286; 310; 184; 288; 849; 634; 515; 364; 1011; 292; 849; 450
424; 14.290796525285295; 158; 97; 286; 300; 192; 275; 892; 627; 489; 357; 1062; 295; 763; 489
429; 14.458923543229828; 155; 91; 288; 294; 200; 264; 916; 616; 480; 350; 1072; 292; 710; 504
433; 14.593425157585454; 182; 118; 286; 300; 200; 264; 897; 620; 492; 355; 1040; 292; 734; 486
438; 14.761552175529987; 190; 131; 288; 308; 195; 272; 854; 631; 512; 367; 998; 290; 796; 471
443; 14.929679193474518; 201; 144; 286; 316; 192; 275; 806; 641; 534; 372; 950; 285; 864; 450
447; 15.064180807830144; 241; 200; 284; 328; 188; 283; 758; 649; 553; 381; 908; 280; 926; 421
452; 15.232307825774678; 241; 200; 281; 336; 182; 292; 691; 652; 582; 386; 860; 268; 1012; 388
457; 15.40043484371921; 251; 216; 276; 350; 163; 307; 609; 660; 620; 396; 800; 251; 1104; 352
462; 15.568561861663744; 267; 260; 268; 363; 155; 315; 523; 663; 646; 408; 752; 237; 1176; 327
466; 15.70306347601937; 273; 281; 262; 374; 144; 323; 456; 663; 672; 415; 720; 225; 1267; 295
471; 15.871190493963903; 278; 299; 256; 384; 129; 332; 379; 663; 700; 422; 684; 213; 1344; 270
476; 16.039317511908436; 281; 323; 248; 392; 100; 345; 321; 663; 713; 429; 668; 206; 1411; 244
480; 16.173819126264064; 292; 310; 248; 395; 96; 345; 307; 663; 716; 429; 668; 204; 1440; 234
484; 16.30832074061969; 291; 313; 249; 393; 100; 345; 326; 663; 710; 427; 675; 208; 1440; 234
